⌚	montre	heure|montre
🥧	tarte	décoration|garniture|gâteau|nourriture|pâte à tarte|pâtisserie|tarte|tarte aux fruits|tourte
🥨	bretzel	bretzel|nourriture|torsade
🥩	morceau de viande	côtelette|côtelette d’agneau|côtelette de porc|morceau de viande|nourriture|steak|viande|viande rouge
🥪	sandwich	nourriture|pain|pain de mie|pique-nique|sandwich
🥫	aliments en conserve	aliments en conserve|boîte de conserve|conserve|nourriture
🥬	légume à feuilles vertes	bok choy|chou|chou chinois|chou frisé|chou pommé|kale|laitue|légume à feuilles vertes|salade
🥭	mangue	fruit|mangue|nourriture|tropical|tropique
🥮	gâteau de lune	automne|festival|gâteau de lune|moon cake|yuèbǐng
🥯	bagel	bagel|boulangerie|petit-déjeuner|sandwich|schmear
🥰	visage souriant avec cœurs	adorer|aimer|amour|béguin|coeur|cœurs|j’adore|Je t’aime|smiley avec 3 coeurs|sourire|visage souriant avec cœurs
🥱	visage bâillant	bâille|bâiller|dormir|émoticône|ennui|fatigant|fatigue|sieste|visage bâillant
🥲	visage souriant avec une larme	ému|fier|heureux|larme|reconnaissant|smiley|soulagé|souriant|touché|visage souriant avec une larme
🥳	visage festif	anniversaire|célébration|chapeau pointu|émoticône|fête|heureux|hourra|joyeux anniversaire|sifflet|visage de fête|visage festif|youpi
🥴	visage éméché	bouche ondulée|bourré|bourrée|dans les vapes|hébété|pas clair|pompette|rond|saoul|souler|tête qui tourne|visage éméché
🥵	visage rouge et chaud	chaleur|chaud|coup de chaleur|coup de chaud|fièvre|sue|suer|toute rouge|transpiration|trop chaud|visage rouge et chaud|visage tout rouge
🥶	visage bleu et froid	bleu|ça caille|froid|gel|gelé|gelure|glacé|glacial|glaçon|visage bleu|visage bleu et froid
🥷	ninja	assassin|combat|furtif|guerrier|masqué|ninja|personne|sabre|secret|soldat
🥸	visage déguisé	déguisement|espion|faux nez|grimer|incognito|lunettes|moustache|postiche|smiley|sourcils ébouriffés|visage déguisé
🥹	visage retenant ses larmes	admiration|ému|fierté|gratitude|larmes de joie|pleurs|retenir ses larmes|triste|visage retenant ses larmes
🥺	visage implorant	embarrassé|excuse|gros yeux|pardon|pitié|s’il te plaît|supplication|supplie|visage implorant|yeux de chiens battus
🥻	sari	inde|mode|robe|sari|traditionnel|vêtement
🥼	blouse blanche	blouse|blouse blanche|docteur|expérience|expérimentation|labo|laboratoire|manteau blanc|médecin|scientifique|vêtements
🥽	lunettes	lunettes|lunettes de chimiste|lunettes de labo|lunettes de piscine|lunettes de protection|lunettes de soudage|lunettes de soudure|masque|natation|protection des yeux|soudage
🥾	chaussure de randonnée	camping|chaussure de marche|chaussure de randonnée|chaussures de chantier|chaussures de montagne|chaussures de sécurité|chaussures marron|marche|rando|randonnée|timberland|vêtements
🥿	chaussure plate	ballerine|chaussure plate|chaussure sans lacets|chaussures plates|mule|vêtements
🦀	crabe	animal|astrologie|Cancer|crabe|horoscope|mer|pinces|plage|zodiaque
🦁	tête de lion	animal|astrologie|crinière|fort|horoscope|lion|roi|rugissement|safari|savane|tête de lion|visage|zodiaque
🦂	scorpion	animal|astrologie|désert|horoscope|scorpion|zodiaque
🦃	dindon	action de grâces|animal|dinde|dindon|oiseau|thanksgiving|volaille
🦄	licorne	animal|licorne|licrone|tête|tête de licorne
🦅	aigle	aigle|animal|oiseau|rapace
🦆	canard	animal|canard|coin-coin|oiseau
🦇	chauve-souris	animal|chauve-souris|vampire
🦈	requin	animal|Dents de la mer|poisson|requin
🦉	chouette	animal|chouette|hibou|oiseau|sage
🦊	renard	animal|nature|renard|tête|visage
🦋	papillon	animal|insecte|mignon|papillon|printemps
🦌	cerf	animal|bois|cerf
🦍	gorille	animal|gorille|primate
🦎	lézard	animal|lézard|reptile
🦏	rhinocéros	animal|corne|rhinocéros
🦐	crevette	aliment|crevette|crustacé|fruits de mer|nourriture
🦑	calamar	aliment|animal|calamar|encornet|mollusque|nourriture
🦒	girafe	animal|cou|girafe|taches
🦓	zèbre	animal|noir et blanc|rayure|rayures|zèbre|zébrure
🦔	hérisson	animal|épines|épineux|hérisson|piquant|porc-épic
🦕	sauropode	animal|brachiosaure|brontosaure|dinosaure|diplodocus|sauropode
🦖	T-Rex	animal|dinosaure|T-Rex|T. rex|tyrannosaure|Tyrannosaurus rex|Tyrannosaurus Rex
🦗	criquet	animal|criquet|insecte|sauterelle
🦘	kangourou	austalie|joey|kangoo|kangourou|marsupial|marsupiaux|saut
🦙	lama	alpaca|alpaga|animal|guanaco|laine|lama|llama|pérou|vicuña|vigogne
🦚	paon	animal|bel oiseau|coloré|fier|fière|oiseau|paon|paonne|prétentieux
🦛	hippopotame	animal|hippo|hippopotame
🦜	perroquet	animal|oiseau|parle|perroquet|pirate|répète
🦝	raton laveur	animal|curieux|raton laveur|sournois
🦞	homard	animal|bisque|fruit de mer|fruits de mer|homard|pinces
🦟	moustique	fièvre|infection|insecte|maladie|malaria|moustique|piqûre|virus
🦠	microbe	amibe|bactérie|biologie|microbe|microorganisme|phagocytose|pseudopode|science|virus
🦡	blaireau	animal|blaireau|ratel
🦢	cygne	animal|cygne|jeune cygne|oiseau|vilain petit canard
🦣	mammouth	animal|défenses|extinction|géant|grand|laineux|mammouth
🦤	dodo	animal|dodo|Dronte|espèce éteinte|extinction|grand|Maurice|oiseau
🦥	paresseux	aï|animal|endormi|lent|paresseux
🦦	loutre	animal|joueur|loutre|mignon|pêcheur
🦧	orang-outan	animal|orang-outan|primate|singe
🦨	mouffette	animal|mouffette|odeur|puer|putois
🦩	flamant	animal|flamant|oiseau|rose|tropical
🦪	huître	coquillage|coquille|huître|mollusque|perle
🦫	castor	animal|barrage|castor|dents|rongeur
🦬	bison	animal|bison|buffle|cornes|herbivore|nature|troupeau
🦭	phoque	animal|lion de mer|océan|otarie|phoque
🦮	chien guide	accessibilité|animal|aveugle|chien guide|guide|malvoyant|non-voyant
🦯	canne blanche	accessibilité|aveugle|canne blanche|déficient visuel|malvoyant
🦴	os	chien|halloween|os|squelette
🦵	jambe	coup de pied|cuisse|genou|genou fléchi|genoux|jambe|membre|pied
🦶	pied	cheville|coup de pied|pas lourd|pied
🦷	dent	carie|dent|dentiste|émail diamant
🦸	super-héros	bien|cape|force|heroïne|héroïne|héros|personnage|sauver le monde|super pouvoir|super-héros|super-pouvoir|superhéros|superman|vengeur|voler
🦹	super-vilain	cape|criminel|déguisement|diabolique|mal|mauvais|méchant|personnage|super pouvoir|super vilain|super-pouvoir|super-vilain
🦺	gilet de sécurité	chantier|fluo|gilet de sécurité|gilet jaune|gilet orange|sécurité|sûreté|visibilité
🦻	oreille appareillée	accessibilité|handicap|malentendant|oreille appareillée|prothèse auditive|sonotone|sourd|surdité
🦼	fauteuil motorisé	accessibilité|fauteuil motorisé|fauteuil roulant|fauteuil roulant motorisé|handicap
🦽	fauteuil roulant manuel	accessibilité|fauteuil roulant|fauteuil roulant manuel|handicap
🦾	bras mécanique	accessibilité|bras|bras mécanique|bras robot|handicap|prothèse|prothèse de bras
🦿	jambe mécanique	accessibilité|handicap|jambe artificielle|jambe mécanique|jambe robot|prothèse|prothèse de jambe
🧀	part de fromage	fromage|nourriture|part de fromage
🧁	cupcake	cupcake|dessert|muffin|pâtisserie|sucre|sucrerie
🧂	sel	condiment|salé|salière|saveur|sel
🧃	briquette de jus	boisson|briquette de jus|carton|jus|jus de fruits|paille
🧄	ail	ail|aromate|assaisonnement|condiment|légume|vampire
🧅	oignon	assaisonnement|condiment|légume|ognon|oignon
🧆	falafels	boulette|boulettes|falafel|falafels|pois chiches|seitan|soja|viande
🧇	gaufre	brunch|gaufre|gourmandise|goûter|moule|pâtisserie|petit déjeuner|petit-déjeuner
🧈	beurre	beurre|gras|produit laitier
🧉	maté	boisson|maté
🧊	glaçon	cube|froid|glace|glaçon|iceberg
🧋	thé aux perles	boba|boisson|bubble tea|bulle|lait|paille|perle|thé aux bulles|thé aux perles|thé froid|zenzou
🧌	troll	conte de fées|légende|monstre|mythe|troll|troller
🧍	personne debout	debout|personne debout
🧎	personne à genoux	à genoux|personne à genoux|prière|religion
